,url
0,https://doi.org/10.1021%2Facs.jafc.5b03691
1,https://doi.org/10.1021%2Fjf980985s
2,https://doi.org/10.1111%2Fnure.12060
3,https://doi.org/10.1080%2F10408398.2012.688076
4,https://doi.org/10.1080%2F09637486.2018.1482530
5,https://doi.org/10.1016%2Fj.foodchem.2011.04.048
6,https://doi.org/10.1021%2Fjf9033909
